link,tanggal
https://www.cnbcindonesia.com/tech/20230306080458-37-419085/simak-cara-download-sertifikat-vaksin-di-aplikasi-satusehat,2023-03-06
https://tekno.kompas.com/read/2023/03/05/08000057/cara-cek-tiket-vaksin-booster-di-aplikasi-satu-sehat-,2023-03-05
https://pontianak.tribunnews.com/2023/03/05/apa-kegunaan-aplikasi-satu-sehat-mobile-cara-cek-download-sertifikat-vaksin,2023-03-05
https://tekno.kompas.com/read/2023/03/05/18150027/cara-download-sertifikat-vaksin-di-satu-sehat-,2023-03-05
https://www.liputan6.com/health/read/5223368/sudah-beralih-dari-pedulilindungi-cek-sertifikat-vaksin-di-satusehat-mobile-dengan-cara-ini,2023-03-04
https://nextren.grid.id/read/013715347/cara-mudah-cek-kamar-rawat-inap-rumah-sakit-di-aplikasi-satu-sehat,2023-03-04
https://tekno.sindonews.com/read/1037919/207/mengenal-aplikasi-satu-sehat-pengganti-peduli-lindungi-bukan-sekadar-simpan-data-vaksin-1677888204,2023-03-04
https://www.smol.id/techno/717837735/alasan-kenapa-aplikasi-satu-sehat-tidak-bisa-dibuka-ternyata-karena-ini-simak-solusinya-di-sini,2023-03-04
https://kumparan.com/berita-hari-ini/cara-melihat-sertifikat-vaksin-di-aplikasi-satu-sehat-mobile-1zwlx1NkwFh,2023-03-04
https://www.rri.co.id/kesehatan/179135/pedulilindungi-transformasi-jadi-satu-sehat-mobile,2023-03-04
https://ekonomi.bisnis.com/read/20230304/98/1633970/syarat-naik-kereta-api-terbaru-maret-2023-usai-ada-satu-sehat,2023-03-04
https://www.sangalu.com/teknologi/837844243/ganti-pedulilindungi-aplikasi-satu-sehat-masih-banyak-kekurangan,2023-03-04
https://www.konteks.co.id/digital/84074/fitur-baru-satu-sehat-pengganti-pedulilindungi-untuk-pengguna-ios/,2023-03-04
https://news.detik.com/berita/d-6597966/cara-login-aplikasi-satusehat-dengan-nomor-hp-dan-email,2023-03-03
https://tekno.kompas.com/read/2023/03/03/09300067/sederet-keluhan-di-aplikasi-satu-sehat-mulai-dari-gagal-login-dan-tiket-booster?page=all,2023-03-03
https://www.liputan6.com/regional/read/5223187/cara-cepat-melihat-sertifikat-vaksin-di-aplikasi-satu-sehat-mobile,2023-03-03
https://indonesia.go.id/kategori/editorial/6903/satusehat-layanan-kesehatan-terpadu-dalam-genggaman?lang=1,2023-03-03
https://www.kompas.com/tren/read/2023/03/03/103000265/update-proses-migrasi-dari-pedulilindungi-ke-satu-sehat-mobile-masih,2023-03-03
https://www.kompas.id/baca/opini/2023/03/02/indonesia-menuju-satu-sehat,2023-03-03
https://pontianak.tribunnews.com/2023/03/03/solusi-mengatasi-aplikasi-satu-sehat-mobile-susah-login,2023-03-03
https://jatimtimes.com/baca/284734/20230303/091800/peduli-lindungi-beralih-jadi-satu-sehat-mobile-masih-sama-atau-sudah-beda-fungsinya,2023-03-03
